sentiment,text
Contro Chiara Ferragni,"Ecco la vera Ferragni la falsità fatta persona. 
Complimenti a tutti quelli che la difendono sempre e che lasciano che i propri figli adolescenti  si facciano influenzare da gente del genere"
Neutrale,"Ho letto molti commenti e nessuno la ha giustificata o accettato per vero  le sue scuse. Ergo,Tutti non hanno comprato il pandoro. Ma una riflessione va fatta. C'è , evidentemente  un Mondo di persone che sono  così "" Influenzabili ""  evidenziando la totale dipendenza da persone come la Ferragni.   Ritengo  ciò un pericolo serio  xche  attraverso il plagio può passare qualsiasi messaggio  anche politico. Tutto ciò già era  chiaro  agli inizi degli anni '50 quando eminenti  fisofofi parlarono dell' Industria  Culturale  che non vende merci  ma condiziona menti ..L' invito è  che non si perda il pensiero critico e che si riesca ad affrontare la realtà  x quella che è."
Neutrale,Esiste una giustizia..... Speriamo che nn se la cavi
Neutrale,Ancora seguite sta gente
Neutrale,Fatto in buona fedez...
Neutrale,"Aaaaah ok, se era in buona fede allora.. del resto codice civile e penale sono pieni di ""la legge non si applica se si è in buona fede""."
Neutrale,La vera notizia è che ci sono tanti gonzi disposti a pagare un pandoro industriale a prezzo più che doppio rispetto al normale perché “benedetto” da santa Chiara Ferragnez.
Neutrale,"Ti conviene dire così , dimostralo !"
Neutrale,"Li avrebbe venduti comunque i panettoni, nel frattempo è stata fatta anche della beneficenza!"
Pro Chiara Ferragni,Si attività benefica delle sue tasche
Contro Chiara Ferragni,"Il vero problema è che nonostante la ""buona fede"" aumenterà i suoi followers,questa è la vera tristezza!!!"
Neutrale,"Non mi importa nulla, non ho letto e non mi interessa  vorrei solo non mi capitassero davanti ogni volta che guardo il telefono."
Felice,Intanto incomincia a versare 1 milione in beneficenza poi si vedrà…
Neutrale,"Senza canditi? No.
Senza scrupoli!"
Felice,Buonafede 😀😆
Neutrale,In buona fedez
Felice,"Voleva dire… in buona, Fedez"
Neutrale,Ci mancherebbe che non ci fosse stata buona fede.  Ma la legge non ammette ignoranza
Neutrale,Ma io dico c'è gente che compra persino generi alimentari griffati Ferragni? Io davvero sono stupefatta da questo mondo frivolo..
Neutrale,La strada di Kiara verso il premierato è mandorlata di cattive intenzioni.
Neutrale,"Eh certo. Lei è sempre la buona dalla parte giusta. 😂😂
Quando anche i seguaci si renderanno conto che sia lei che il marito sono due impostori e che non è tutto oro quello che luccica sarà troppo tardi."
Neutrale,In buona fedez
Neutrale,In buona fedez..
Neutrale,Pirletta
Neutrale,Si come no?
Contro Chiara Ferragni,"Per me hai sempre rappresentato il nulla, figuriamoci ora."
Neutrale,"Ma la buona fede, in questa vicenda, dove sarebbe?🤔"
Pro Chiara Ferragni,"Sempre e comunque dalla parte di Chiara, icona femminista 4.0"
Contro Chiara Ferragni,Che gentaglia
Neutrale,"Non comprare questo marchio, sarebbe già una grande risposta!"
Neutrale,Senza i fessi....
Neutrale,..............!
Neutrale,Il problema non sono gli influencer ma chi li segue
Neutrale,"furba com'è, altro che buona   fede"
Neutrale,"Comprate artigianale...sostenete i piccoli produttori...non riempite le tasche a quella ""gente"""
Neutrale,Tutto in buona fede per le tue tasche carina
Felice,"Bravi Ferragni ,  sempre con voi . Se qui c è stato un errore,  sono sicuri che saprete spiegare e rimediare"
Contro Chiara Ferragni,"Buona fede e beneficenza sono termini antitetici a quella “signora”. 
Sono sicuro che un cospicuo numero di fedelissimi - che auspico comunque in diminuzione - continuerà a seguirla e a farsi raggirare da quella truffatrice impenitente e in fondo nemmeno troppo abile. Al contrario estremamente sfacciata nel suo palese gioco sporco, confidando nell’ottusità del suoi ammiratori."
Contro Chiara Ferragni,Una vergogna…
Neutrale,Spero che diventi 10.000 milioni di euro!
Neutrale,Il Problema è che questa significhi qualcosa in italia.
Neutrale,Pensati multata
Felice,"Dolce vita, stanno arrivando anche da te"
Neutrale,eh ma qua stamane c’erano i guru che la difendevano… 😂
Neutrale,🤣🤣🤣🤣🤣🤣🤣🤣🤣
Neutrale,"I consumatori pagavano il doppio del prezzo corrente, non perché intendevano fare beneficenza (o forse anche) ma soprattutto perché era il Pandoro griffato Ferragni"
Neutrale,Alla faccia della.beneficenza....50.000euro a fronte di 1 milione di incasso? Bravi...nessuno pensava che lo.facessero gratis ma.così è un insulto alla.buona fede di quelli che l hanno acquistato
Neutrale,Si appellerà al Sommo Tribunale dei Followers
Neutrale,Non sono un avvocato e non giudico la questione ma faccio delle riflessioni  . Ma la Signora Ferragni era all'oscuro di tutto ciò ???..............mi sembra molto ma molto improbabile .Comunque la Beneficenza si fa in silenzio ; e se la fai urlando e pubblicizzi la cosa oltretutto prestando la faccia i sospetti nascono eccome !!!!!!!!  Ossia trarne un profitto personale !!!
Neutrale,Idoli della sinistra
Neutrale,"Questa gente la beneficenza la fa solo ed esclusivamente per pagare meno tasse. Gli incassi che si devolvono in beneficenza non vengono conteggiati a fine anno. Sveglia. Che nessuno é buono ed altruista senza tornaconto, soprattutto sti arricchiti."
Neutrale,Fatto tutto in buona Federico ?
Neutrale,"Class Action immediata da parte di tutti i consumatori nei confronti di questi personaggi , con allegata denuncia per truffa"
Neutrale,A sua insaputa sicuramente
Neutrale,"Come dice la spiegazione"" Le dispiace 
dopo tutto ""l'Impregno""...In effetti si è impregnata bene di soldini"
Neutrale,lascia o raddoppia
Contro Chiara Ferragni,Vergognoso
Neutrale,"Hai guadagnato un milione , hanno donato 50 mila euro. Mettiamola così , non è stata una gran figura."
Neutrale,La comunicazione non è stata chiara. Se chiedevi a 10 persone tutte e 10 avevano capito che parte sarebbe stata devoluta all ospedale. Professionisti della comunicazione come loro non possono ceffare il messaggio; a meno che non vogliano. Poi personalmente metto la Ferragni e la Balocco sullo stesso piano e quindi entrambi colpevoli. Avrebbero potuto risolvere mettendo mano al portafoglio e invece insistendo aumentano la brutta figura. Detto questo... interessante che la notizia sia stata tirata fuori sotto le feste.
Felice,"Ai Ferragnez Sala ha dato anche l' Ambrogino d' Oro l' anno scorso  per la loro beneficenza. 
Proprio cittadini modello da imitare."
Neutrale,Sì sì certo!
Neutrale,Pensati multata!! Hahahaha 🤣😂
Felice,Fate i buoni saluti balocco 😀😄
Neutrale,I veri colpevoli sono i tipi che comprano questi prodotti.
Contro Chiara Ferragni,"Detrattori a gogò. La Ferragni non ha bisogno di un milione di euro, non ha bisogno di ingannare per guadagnare.  Tribunale mediatico che manco la curva sud del Catanzaro Lido!"
Neutrale,Ecco come funziona la beneficienza in Italia 😩
Neutrale,Ci credo che continuerà a fare beneficienza…..ci guadagna !
Neutrale,"Una nuova Vanna Marchi...gli italiani ne sentono il bisogno. Grillo, Conte e Di Maio non erano già abbastanza."
Neutrale,"può  darsi  che sia   stata ingannata..alla fine non è  che le manchi da vivere
anche  perché  con questa notizia subisce un forte danno d'immagine"
Neutrale,"""Gli influencer non esisterebbero senza i deficienters""."
Neutrale,In buona fede?!?!?🤔
Felice,Una vera benefattrice.....
Neutrale,MONDO CANE
Neutrale,"Ormai beneficenza e' rimpinguare i conti di certi personaggi. Non ci si può fidare di nessuno, aiutate direttamente o "" scoppiatevi"" in allegria i vostri soldi."
Neutrale,In buona fede di lucrarci sopra
Neutrale,"L’ignoranza non è scusata nel diritto, ciccia."
Neutrale,"Basterebbe non seguirla o ignorarla, o meglio compatirla un po'.."
Neutrale,Chiara Fregagni
Neutrale,La colpa è  sempre di chi compra il niente avvolto nel nulla!!
Neutrale,La beneficenza si tace.Donnina struccata.
Neutrale,"Precisate anche che le vendite di questi panettoni sono state scarsissime, provocando un danno economico all'azienda che non solo ha prodotto i panettoni ma anche versato la donazione e ora si trova multata. Spiace per Balocco, ma magari é ora di svegliarsi"
Felice,"Brava, almeno lei rimedia all' errore, scandalizzatevi per chi, beccato, non lo fa e sono in tanti."
Neutrale,Chi la segue è il problema non lei
Neutrale,Già mi vedo i video del marito dove piange
Neutrale,"Furba... Invoca la buona fede per eludere la sanzione, d'altronde un milione di euro di multa non glielo lascia così senza opporsi in via giudiziaria"
Felice,scusate cosa a fatto di male lei i soldi ce li da ai poveri e poi oggi ce il patriarcato che e piu importante se propio non sapere che accusare
Neutrale,"Ah la ha convinta soltanto l'accordo che la Balocco (non lei) avrebbe dato dei soldi a un ente benefico! Perché se semplicemente avessero offerto un milione di euro a lei per fare da testimonial, avrebbe prontamente detto no. È andata sicuramente così, ci ha convinti"
Neutrale,Sì certo come no
Neutrale,Avete capito come si fa a portare gli Amici in montagna con elicottero per un aperitivo  !!!!!
Neutrale,"Dillo alla mamma , dillo agli avvocati
Ma hanno ragione , in giro ci sono tanti di quelli idio..ti , che idolatrano  questa gentaglia"
Neutrale,"Buonissima fede, questa ê un lupo travestito da Agnello... Vedremo se riuscirai a dimostrare che non ne eri a conoscenza..??? Vai avanti così che il mondo è pieno di....fessi"
Neutrale,"Non so quanto ti manca per arrivare a un milione, io ti posso prestare 1€"
Neutrale,Quest'anno ricompratelo daii polli
Neutrale,Stai serena che ci crediamo tutti.
Neutrale,POPOLO bue
Neutrale,"Allucinante 
E ci sono persone che seguono questi soggetti😡"
Neutrale,"Ma una domanda "" chi sono quegli sfigati che comprano qualcosa "" marchio Ferragni , chiedo per mio cugino"
Neutrale,Si in buona fedez
Neutrale,Sinistri
Neutrale,"Dopo il panettone e le uova di Pasqua,ti rimangono i bigne' di San Giuseppe...!"
Contro Chiara Ferragni,Basta Ferragnez
Neutrale,Per lei e' niente una multa cosi'
Neutrale,Buona fede per i rispettivi tornaconti.
Neutrale,In buona fede restituisci i soldi
Neutrale,I Soldi della multa chi li prende 😁
Neutrale,In buona fedez se mai
Neutrale,"Beneficenza GRIFFATA🤣🤣🤣🤣.... ma come si può ?!?!? 🤦‍♀️ 
Questi intermediari .. pure per la beneficenza ...."
Neutrale,#pensatevifessi
Neutrale,"c'è gente che crede ancora a queste iniziative di beneficenza, ma la cosa che mi sorprende di più è che c'è gente che crede a questa tizia"
Neutrale,la buona fede ... ahahaha
Neutrale,"Ora si chiama, buona fede"
Neutrale,Ma a nessuno viene in mente che tutto questo nella concomitanza del Natale sia una manovra per screditare la Balocco (rivalità aziendale) e comunque nei confronti dei Ferragnez l'Antitrast c'è l'ha da una vita e quindi poco credibili!
Neutrale,Certo che lo zucchero a velo Rosa costa un po'..😅
Contro Chiara Ferragni,Da buona fede a buona Fedez é un attimo. Stavolta l'hanno beccata pestare una 💩...
Neutrale,In galera
Neutrale,È stato fatto in buona fede del bonifico
Contro Chiara Ferragni,Che bella truffa... complimentoni🤡🤡
Neutrale,Certo … come agli onorevoli che hanno casa senza saperlo 😊
Neutrale,"Gli influencer sono persone intelligenti
Che sfruttano 
L'ignoranza degli altri"
Neutrale,"Good! (Anzi, Godo)"
Neutrale,In buona fede .....dovrebbe dare quello che ha incassato all'ospedale e pagare la sanzione
Neutrale,Multate quelli che hanno comprato il pandoro
Neutrale,"La vergogna dell’italia, tutto a regola d’arte come i loro predecessori"
Neutrale,Tu in buona fede ...la fede non ti appartiene...
Felice,"Una grande donna un giorno disse ""i c@GLi@n# vanno in+ul@ti"""
